	DepTime	CRSDepTime	ArrTime	CRSArrTime	ActualElapsedTime	CRSElapsedTime	AirTime	ArrDelay	DepDelay	Distance	TaxiIn	TaxiOut	CarrierDelay	WeatherDelay	NASDelay	SecurityDelay	LateAircraftDelay
54	1900.0	1850	2123.0	2045	143.0	115.0	97.0	38.0	10.0	666	40.0	6.0	1.0	0.0	28.0	0.0	9.0
56	948.0	925	959.0	940	71.0	75.0	59.0	19.0	23.0	365	3.0	9.0	0.0	0.0	0.0	0.0	19.0
57	646.0	620	725.0	655	99.0	95.0	77.0	30.0	26.0	484	6.0	16.0	26.0	0.0	4.0	0.0	0.0
58	1110.0	1040	1136.0	1110	86.0	90.0	72.0	26.0	30.0	484	5.0	9.0	0.0	0.0	0.0	10.0	16.0
70	1813.0	1735	1936.0	1905	143.0	150.0	125.0	31.0	38.0	816	6.0	12.0	11.0	0.0	0.0	0.0	20.0
74	1734.0	1650	1941.0	1905	127.0	135.0	113.0	36.0	44.0	742	4.0	10.0	3.0	0.0	0.0	0.0	33.0
77	958.0	900	1052.0	950	54.0	50.0	36.0	62.0	58.0	180	4.0	14.0	0.0	0.0	4.0	0.0	58.0
79	1538.0	1445	1753.0	1710	75.0	85.0	60.0	43.0	53.0	487	4.0	11.0	15.0	0.0	0.0	0.0	28.0
81	2248.0	2125	102.0	2345	74.0	80.0	60.0	77.0	83.0	487	4.0	10.0	7.0	0.0	0.0	0.0	70.0
82	1327.0	1230	1550.0	1500	83.0	90.0	65.0	50.0	57.0	487	3.0	15.0	50.0	0.0	0.0	0.0	0.0
86	1832.0	1655	148.0	30	256.0	275.0	243.0	78.0	97.0	2237	3.0	10.0	8.0	0.0	0.0	0.0	70.0
87	1229.0	1155	1633.0	1555	124.0	120.0	91.0	38.0	34.0	758	5.0	28.0	3.0	0.0	4.0	0.0	31.0
89	2118.0	2015	144.0	50	146.0	155.0	127.0	54.0	63.0	1090	5.0	14.0	23.0	0.0	0.0	0.0	31.0
91	1739.0	1640	114.0	25	275.0	285.0	253.0	49.0	59.0	2298	9.0	13.0	19.0	0.0	0.0	0.0	30.0
94	1325.0	1240	1841.0	1810	196.0	210.0	178.0	31.0	45.0	1588	6.0	12.0	2.0	0.0	0.0	0.0	29.0
95	1506.0	1440	2030.0	2010	204.0	210.0	183.0	20.0	26.0	1588	6.0	15.0	18.0	0.0	0.0	0.0	2.0
96	2039.0	1930	155.0	55	196.0	205.0	177.0	60.0	69.0	1588	5.0	14.0	0.0	0.0	22.0	0.0	38.0
98	1611.0	1535	1849.0	1825	98.0	110.0	73.0	24.0	36.0	520	3.0	22.0	9.0	0.0	0.0	0.0	15.0
99	1824.0	1715	117.0	25	233.0	250.0	221.0	52.0	69.0	1987	2.0	10.0	48.0	0.0	0.0	0.0	4.0
101	2118.0	2015	2224.0	2115	66.0	60.0	46.0	69.0	63.0	223	3.0	17.0	17.0	0.0	6.0	0.0	46.0
102	1818.0	1740	1916.0	1840	58.0	60.0	46.0	36.0	38.0	223	2.0	10.0	20.0	0.0	0.0	0.0	16.0
104	2146.0	2055	2250.0	2155	64.0	60.0	48.0	55.0	51.0	223	3.0	13.0	4.0	0.0	4.0	0.0	47.0
105	2241.0	1910	2340.0	2010	59.0	60.0	43.0	210.0	211.0	223	3.0	13.0	114.0	0.0	0.0	0.0	96.0
109	1726.0	1630	1832.0	1740	66.0	70.0	46.0	52.0	56.0	223	2.0	18.0	1.0	0.0	0.0	0.0	51.0
111	1229.0	1220	1342.0	1325	73.0	65.0	47.0	17.0	9.0	223	2.0	24.0	9.0	0.0	8.0	0.0	0.0
113	908.0	845	1628.0	1610	260.0	265.0	244.0	18.0	23.0	2106	6.0	10.0	18.0	0.0	0.0	0.0	0.0
114	1817.0	1730	122.0	50	245.0	260.0	230.0	32.0	47.0	2106	5.0	10.0	7.0	0.0	0.0	0.0	25.0
117	1849.0	1740	121.0	30	212.0	230.0	195.0	51.0	69.0	1772	2.0	15.0	10.0	0.0	0.0	0.0	41.0
118	1210.0	1200	1905.0	1850	235.0	230.0	201.0	15.0	10.0	1772	6.0	28.0	10.0	0.0	5.0	0.0	0.0
121	2232.0	2115	108.0	5	96.0	110.0	77.0	63.0	77.0	629	6.0	13.0	0.0	0.0	7.0	0.0	56.0
122	1512.0	1315	1802.0	1610	110.0	115.0	88.0	112.0	117.0	629	8.0	14.0	0.0	0.0	0.0	0.0	112.0
123	2025.0	1955	2301.0	2245	96.0	110.0	78.0	16.0	30.0	629	6.0	12.0	7.0	0.0	0.0	0.0	9.0
125	1627.0	1600	1916.0	1900	109.0	120.0	80.0	16.0	27.0	629	8.0	21.0	2.0	0.0	0.0	0.0	14.0
126	1745.0	1710	2017.0	1945	92.0	95.0	78.0	32.0	35.0	584	2.0	12.0	10.0	0.0	0.0	0.0	22.0
129	1725.0	1620	1940.0	1850	135.0	150.0	116.0	50.0	65.0	806	4.0	15.0	50.0	0.0	0.0	0.0	0.0
130	1824.0	1735	2303.0	2230	159.0	175.0	143.0	33.0	49.0	1235	3.0	13.0	12.0	0.0	0.0	0.0	21.0
133	2051.0	2010	134.0	55	163.0	165.0	150.0	39.0	41.0	1235	4.0	9.0	17.0	0.0	0.0	0.0	22.0
134	1555.0	1525	2307.0	2245	252.0	260.0	232.0	22.0	30.0	2066	7.0	13.0	6.0	0.0	0.0	0.0	16.0
135	2255.0	1820	509.0	55	194.0	215.0	176.0	254.0	275.0	1591	9.0	9.0	0.0	0.0	0.0	8.0	246.0
136	1129.0	1050	1757.0	1725	208.0	215.0	179.0	32.0	39.0	1591	8.0	21.0	32.0	0.0	0.0	0.0	0.0
137	1602.0	1510	2357.0	2255	295.0	285.0	269.0	62.0	52.0	2283	4.0	22.0	13.0	0.0	10.0	0.0	39.0
138	1738.0	1715	1838.0	1820	60.0	65.0	42.0	18.0	23.0	236	6.0	12.0	0.0	0.0	0.0	12.0	6.0
140	1851.0	1825	2004.0	1930	73.0	65.0	41.0	34.0	26.0	236	16.0	16.0	18.0	0.0	8.0	0.0	8.0
141	701.0	645	802.0	745	61.0	60.0	42.0	17.0	16.0	236	7.0	12.0	16.0	0.0	1.0	0.0	0.0
142	1556.0	1455	1704.0	1600	68.0	65.0	41.0	64.0	61.0	236	9.0	18.0	61.0	0.0	3.0	0.0	0.0
145	1540.0	1525	1648.0	1630	68.0	65.0	47.0	18.0	15.0	236	5.0	16.0	10.0	0.0	3.0	0.0	5.0
147	1228.0	1200	1340.0	1310	72.0	70.0	43.0	30.0	28.0	236	7.0	22.0	0.0	0.0	2.0	0.0	28.0
148	2047.0	2005	2209.0	2115	82.0	70.0	45.0	54.0	42.0	236	7.0	30.0	15.0	0.0	12.0	0.0	27.0
149	2158.0	2120	2303.0	2225	65.0	65.0	44.0	38.0	38.0	236	11.0	10.0	13.0	0.0	0.0	0.0	25.0
152	1147.0	1100	1541.0	1500	114.0	120.0	90.0	41.0	47.0	775	4.0	20.0	25.0	0.0	0.0	0.0	16.0
154	1140.0	1110	1537.0	1510	117.0	120.0	95.0	27.0	30.0	796	2.0	20.0	27.0	0.0	0.0	0.0	0.0
155	1226.0	1210	1721.0	1700	175.0	170.0	139.0	21.0	16.0	1140	4.0	32.0	1.0	0.0	5.0	0.0	15.0
156	2118.0	2005	154.0	50	156.0	165.0	131.0	64.0	73.0	1140	7.0	18.0	14.0	0.0	0.0	0.0	50.0
157	2003.0	1905	26.0	2350	143.0	165.0	130.0	36.0	58.0	1140	5.0	8.0	4.0	0.0	0.0	0.0	32.0
158	1622.0	1510	2059.0	2000	157.0	170.0	130.0	59.0	72.0	1140	4.0	23.0	59.0	0.0	0.0	0.0	0.0
162	1506.0	1500	2122.0	2030	256.0	210.0	177.0	52.0	6.0	1521	62.0	17.0	6.0	0.0	46.0	0.0	0.0
166	1211.0	1145	1750.0	1720	219.0	215.0	175.0	30.0	26.0	1521	23.0	21.0	0.0	0.0	4.0	0.0	26.0
170	1919.0	1845	31.0	5	192.0	200.0	171.0	26.0	34.0	1521	8.0	13.0	4.0	0.0	0.0	0.0	22.0
171	1945.0	1815	52.0	2335	187.0	200.0	168.0	77.0	90.0	1521	8.0	11.0	13.0	0.0	0.0	0.0	64.0
172	2057.0	1930	202.0	50	185.0	200.0	171.0	72.0	87.0	1521	7.0	7.0	60.0	0.0	0.0	0.0	12.0
173	1354.0	1310	1907.0	1845	193.0	215.0	177.0	22.0	44.0	1521	6.0	10.0	4.0	0.0	0.0	0.0	18.0
176	1903.0	1825	5.0	2340	182.0	195.0	166.0	25.0	38.0	1501	4.0	12.0	3.0	0.0	0.0	0.0	22.0
180	1944.0	1740	2110.0	1915	86.0	95.0	72.0	115.0	124.0	407	5.0	9.0	21.0	0.0	0.0	0.0	94.0
181	1251.0	1205	1425.0	1345	94.0	100.0	76.0	40.0	46.0	407	3.0	15.0	2.0	0.0	0.0	0.0	38.0
182	1548.0	1505	1728.0	1635	100.0	90.0	78.0	53.0	43.0	407	4.0	18.0	14.0	0.0	10.0	0.0	29.0
184	2216.0	2125	2348.0	2255	92.0	90.0	78.0	53.0	51.0	407	4.0	10.0	11.0	0.0	2.0	0.0	40.0
185	2010.0	1900	2203.0	2030	113.0	90.0	77.0	93.0	70.0	407	28.0	8.0	45.0	0.0	23.0	0.0	25.0
189	2035.0	2020	2209.0	2150	94.0	90.0	81.0	19.0	15.0	407	3.0	10.0	15.0	0.0	4.0	0.0	0.0
192	1435.0	1315	1859.0	1755	144.0	160.0	132.0	64.0	80.0	1099	3.0	9.0	38.0	0.0	0.0	0.0	26.0
193	2049.0	1920	106.0	2355	137.0	155.0	125.0	71.0	89.0	1099	2.0	10.0	32.0	0.0	0.0	0.0	39.0
196	2015.0	1945	2101.0	2040	46.0	55.0	34.0	21.0	30.0	197	4.0	8.0	3.0	0.0	0.0	0.0	18.0
199	1102.0	1030	1152.0	1125	50.0	55.0	36.0	27.0	32.0	197	3.0	11.0	27.0	0.0	0.0	0.0	0.0
200	2218.0	2120	2308.0	2210	50.0	50.0	36.0	58.0	58.0	197	5.0	9.0	0.0	0.0	20.0	0.0	38.0
202	1230.0	1215	1331.0	1310	61.0	55.0	36.0	21.0	15.0	197	4.0	21.0	0.0	0.0	6.0	0.0	15.0
203	1838.0	1800	1930.0	1855	52.0	55.0	32.0	35.0	38.0	197	3.0	17.0	0.0	0.0	0.0	0.0	35.0
204	1358.0	1330	1449.0	1425	51.0	55.0	37.0	24.0	28.0	197	4.0	10.0	4.0	0.0	0.0	0.0	20.0
205	1757.0	1655	108.0	25	251.0	270.0	237.0	43.0	62.0	2155	4.0	10.0	13.0	0.0	0.0	0.0	30.0
208	1328.0	1255	1549.0	1520	141.0	145.0	106.0	29.0	33.0	762	22.0	13.0	24.0	0.0	0.0	0.0	5.0
209	2134.0	2040	2343.0	2300	129.0	140.0	112.0	43.0	54.0	762	3.0	14.0	12.0	0.0	0.0	0.0	31.0
210	1127.0	1045	1856.0	1835	269.0	290.0	245.0	21.0	42.0	2176	5.0	19.0	18.0	0.0	0.0	0.0	3.0
213	712.0	705	932.0	915	80.0	70.0	49.0	17.0	7.0	256	7.0	24.0	0.0	0.0	10.0	0.0	7.0
216	1807.0	1740	2011.0	1950	64.0	70.0	49.0	21.0	27.0	256	5.0	10.0	2.0	0.0	0.0	0.0	19.0
217	1712.0	1545	1914.0	1750	62.0	65.0	48.0	84.0	87.0	256	4.0	10.0	6.0	0.0	0.0	0.0	78.0
219	1134.0	1110	1343.0	1315	69.0	65.0	46.0	28.0	24.0	256	8.0	15.0	9.0	0.0	4.0	0.0	15.0
222	2156.0	2110	2353.0	2310	57.0	60.0	43.0	43.0	46.0	256	5.0	9.0	2.0	0.0	0.0	0.0	41.0
223	2140.0	2040	2334.0	2240	54.0	60.0	40.0	54.0	60.0	256	3.0	11.0	2.0	0.0	0.0	0.0	52.0
225	1521.0	1450	1725.0	1655	64.0	65.0	46.0	30.0	31.0	256	5.0	13.0	16.0	0.0	0.0	0.0	14.0
226	2100.0	1945	2255.0	2150	55.0	65.0	43.0	65.0	75.0	256	4.0	8.0	48.0	0.0	0.0	0.0	17.0
227	1657.0	1630	1905.0	1845	68.0	75.0	49.0	20.0	27.0	256	5.0	14.0	2.0	0.0	0.0	0.0	18.0
230	1825.0	1745	114.0	50	229.0	245.0	210.0	24.0	40.0	1910	6.0	13.0	10.0	0.0	0.0	0.0	14.0
232	1630.0	1600	23.0	2350	293.0	290.0	266.0	33.0	30.0	2363	4.0	23.0	6.0	0.0	3.0	0.0	24.0
234	1824.0	1725	121.0	45	237.0	260.0	222.0	36.0	59.0	2027	2.0	13.0	27.0	0.0	0.0	0.0	9.0
235	1716.0	1630	1830.0	1755	74.0	85.0	60.0	35.0	46.0	345	4.0	10.0	11.0	0.0	0.0	0.0	24.0
236	1928.0	1855	2034.0	2015	66.0	80.0	54.0	19.0	33.0	345	4.0	8.0	9.0	0.0	0.0	0.0	10.0
238	1741.0	1730	1905.0	1850	84.0	80.0	57.0	15.0	11.0	345	14.0	13.0	0.0	0.0	4.0	0.0	11.0
239	1609.0	1540	1732.0	1700	83.0	80.0	55.0	32.0	29.0	345	7.0	21.0	26.0	0.0	3.0	0.0	3.0
240	913.0	840	1029.0	955	76.0	75.0	61.0	34.0	33.0	345	3.0	12.0	8.0	0.0	1.0	0.0	25.0
241	2215.0	2200	2334.0	2315	79.0	75.0	57.0	19.0	15.0	345	4.0	18.0	6.0	0.0	4.0	0.0	9.0
242	2137.0	2040	2251.0	2155	74.0	75.0	56.0	56.0	57.0	345	4.0	14.0	0.0	0.0	0.0	0.0	56.0
244	1100.0	1020	1210.0	1145	70.0	85.0	54.0	25.0	40.0	345	4.0	12.0	0.0	0.0	1.0	0.0	24.0
245	1313.0	1255	1437.0	1415	84.0	80.0	57.0	22.0	18.0	345	4.0	23.0	8.0	0.0	4.0	0.0	10.0
246	1415.0	1350	1527.0	1510	72.0	80.0	56.0	17.0	25.0	345	4.0	12.0	9.0	0.0	0.0	0.0	8.0
248	1348.0	1330	1455.0	1435	67.0	65.0	51.0	20.0	18.0	258	2.0	14.0	8.0	0.0	2.0	0.0	10.0
250	2140.0	2050	2240.0	2150	60.0	60.0	45.0	50.0	50.0	258	3.0	12.0	21.0	0.0	0.0	0.0	29.0
252	1643.0	1625	1751.0	1735	68.0	70.0	46.0	16.0	18.0	258	4.0	18.0	4.0	0.0	0.0	0.0	12.0
255	1839.0	1740	1945.0	1840	66.0	60.0	44.0	65.0	59.0	258	4.0	18.0	5.0	0.0	6.0	0.0	54.0
256	2207.0	2125	2307.0	2225	60.0	60.0	49.0	42.0	42.0	258	3.0	8.0	17.0	0.0	0.0	0.0	25.0
257	1503.0	1425	1604.0	1530	61.0	65.0	48.0	34.0	38.0	258	3.0	10.0	9.0	0.0	0.0	0.0	25.0
258	1613.0	1515	1727.0	1615	74.0	60.0	47.0	72.0	58.0	258	3.0	24.0	0.0	0.0	19.0	0.0	53.0
259	2248.0	2155	2346.0	2255	58.0	60.0	45.0	51.0	53.0	258	3.0	10.0	12.0	0.0	0.0	0.0	39.0
263	2022.0	1935	36.0	5	134.0	150.0	122.0	31.0	47.0	1069	2.0	10.0	23.0	0.0	0.0	0.0	8.0
266	1831.0	1810	110.0	45	219.0	215.0	192.0	25.0	21.0	1624	9.0	18.0	18.0	0.0	4.0	0.0	3.0
271	1426.0	1355	1605.0	1530	99.0	95.0	75.0	35.0	31.0	414	3.0	21.0	0.0	0.0	22.0	0.0	13.0
272	1009.0	910	1148.0	1045	99.0	95.0	76.0	63.0	59.0	414	3.0	20.0	0.0	0.0	54.0	0.0	9.0
273	2021.0	1700	2303.0	1835	162.0	95.0	73.0	268.0	201.0	414	4.0	85.0	192.0	0.0	67.0	0.0	9.0
274	2025.0	1905	2208.0	2040	103.0	95.0	88.0	88.0	80.0	414	4.0	11.0	0.0	0.0	63.0	0.0	25.0
276	2301.0	2105	59.0	2240	118.0	95.0	98.0	139.0	116.0	414	4.0	16.0	0.0	0.0	131.0	0.0	8.0
277	1518.0	1215	1646.0	1350	88.0	95.0	72.0	176.0	183.0	414	4.0	12.0	0.0	0.0	176.0	0.0	0.0
278	1307.0	1235	1432.0	1400	85.0	85.0	71.0	32.0	32.0	386	4.0	10.0	4.0	0.0	0.0	0.0	28.0
280	2017.0	1945	2144.0	2105	87.0	80.0	70.0	39.0	32.0	386	4.0	13.0	2.0	0.0	7.0	0.0	30.0
282	2114.0	2040	2241.0	2200	87.0	80.0	69.0	41.0	34.0	386	8.0	10.0	34.0	0.0	7.0	0.0	0.0
283	1605.0	1520	1739.0	1645	94.0	85.0	68.0	54.0	45.0	386	5.0	21.0	10.0	0.0	9.0	0.0	35.0
286	1734.0	1655	1857.0	1820	83.0	85.0	66.0	37.0	39.0	386	5.0	12.0	9.0	0.0	0.0	0.0	28.0
287	1139.0	1100	1408.0	1320	89.0	80.0	54.0	48.0	39.0	368	6.0	29.0	39.0	0.0	9.0	0.0	0.0
288	2104.0	1905	2314.0	2120	70.0	75.0	58.0	114.0	119.0	368	2.0	10.0	25.0	0.0	0.0	0.0	89.0
289	919.0	830	1132.0	1050	73.0	80.0	55.0	42.0	49.0	368	4.0	14.0	3.0	0.0	0.0	0.0	39.0
290	2113.0	2050	2328.0	2305	75.0	75.0	58.0	23.0	23.0	368	3.0	14.0	4.0	0.0	0.0	0.0	19.0
291	1712.0	1555	1935.0	1820	83.0	85.0	62.0	75.0	77.0	368	4.0	17.0	0.0	0.0	6.0	0.0	69.0
293	2242.0	2140	54.0	2355	72.0	75.0	55.0	59.0	62.0	368	4.0	13.0	0.0	0.0	10.0	0.0	49.0
295	1949.0	1910	2110.0	2035	81.0	85.0	66.0	35.0	39.0	397	5.0	10.0	25.0	0.0	0.0	0.0	10.0
296	1409.0	1350	1539.0	1520	90.0	90.0	74.0	19.0	19.0	397	6.0	10.0	19.0	0.0	0.0	0.0	0.0
298	1821.0	1730	1946.0	1855	85.0	85.0	67.0	51.0	51.0	397	6.0	12.0	9.0	0.0	0.0	0.0	42.0
305	1917.0	1820	2014.0	1925	57.0	65.0	40.0	49.0	57.0	226	7.0	10.0	16.0	0.0	0.0	0.0	33.0
306	1125.0	1010	1224.0	1110	59.0	60.0	45.0	74.0	75.0	226	5.0	9.0	9.0	0.0	0.0	0.0	65.0
309	1143.0	1050	1641.0	1600	178.0	190.0	151.0	41.0	53.0	1372	3.0	24.0	2.0	0.0	0.0	0.0	39.0
311	1940.0	1855	29.0	2355	169.0	180.0	157.0	34.0	45.0	1372	3.0	9.0	22.0	0.0	0.0	0.0	12.0
312	1820.0	1725	112.0	35	232.0	250.0	217.0	37.0	55.0	1984	5.0	10.0	29.0	0.0	0.0	0.0	8.0
313	1143.0	1035	1621.0	1505	158.0	150.0	126.0	76.0	68.0	1076	3.0	29.0	0.0	0.0	14.0	0.0	62.0
314	2211.0	2115	17.0	2330	66.0	75.0	53.0	47.0	56.0	365	4.0	9.0	5.0	0.0	0.0	0.0	42.0
315	1821.0	1725	2032.0	1940	71.0	75.0	56.0	52.0	56.0	365	4.0	11.0	24.0	0.0	0.0	0.0	28.0
317	1341.0	1320	1556.0	1535	75.0	75.0	55.0	21.0	21.0	365	3.0	17.0	8.0	0.0	0.0	0.0	13.0
318	2108.0	2030	2313.0	2240	65.0	70.0	53.0	33.0	38.0	365	4.0	8.0	8.0	0.0	0.0	0.0	25.0
319	1118.0	1050	1333.0	1305	75.0	75.0	54.0	28.0	28.0	365	3.0	18.0	0.0	0.0	0.0	0.0	28.0
320	1735.0	1710	2010.0	1955	95.0	105.0	81.0	15.0	25.0	677	4.0	10.0	0.0	0.0	4.0	0.0	11.0
321	2105.0	2025	2342.0	2310	97.0	105.0	82.0	32.0	40.0	677	6.0	9.0	0.0	0.0	11.0	0.0	21.0
326	1632.0	1540	2207.0	2125	215.0	225.0	203.0	42.0	52.0	1797	4.0	8.0	0.0	0.0	18.0	0.0	24.0
327	1327.0	1255	1902.0	1840	215.0	225.0	200.0	22.0	32.0	1797	4.0	11.0	10.0	0.0	0.0	0.0	12.0
329	1925.0	1735	2201.0	2025	96.0	110.0	85.0	96.0	110.0	714	3.0	8.0	5.0	0.0	0.0	0.0	91.0
330	1005.0	945	1250.0	1235	105.0	110.0	88.0	15.0	20.0	714	3.0	14.0	7.0	0.0	0.0	0.0	8.0
332	1742.0	1625	2231.0	2125	169.0	180.0	157.0	66.0	77.0	1390	4.0	8.0	11.0	0.0	0.0	0.0	55.0
334	2020.0	1935	109.0	35	169.0	180.0	159.0	34.0	45.0	1390	3.0	7.0	6.0	0.0	0.0	0.0	28.0
335	1501.0	1425	1554.0	1530	53.0	65.0	41.0	24.0	36.0	236	4.0	8.0	18.0	0.0	0.0	0.0	6.0
336	1205.0	1135	1313.0	1240	68.0	65.0	47.0	33.0	30.0	236	3.0	18.0	16.0	0.0	3.0	0.0	14.0
338	922.0	855	1102.0	1000	100.0	65.0	44.0	62.0	27.0	236	4.0	52.0	13.0	0.0	35.0	0.0	14.0
339	1835.0	1740	1931.0	1840	56.0	60.0	42.0	51.0	55.0	236	6.0	8.0	0.0	0.0	4.0	0.0	47.0
340	1027.0	1015	1151.0	1120	84.0	65.0	43.0	31.0	12.0	236	22.0	19.0	11.0	0.0	19.0	0.0	1.0
343	1910.0	1845	2026.0	1950	76.0	65.0	42.0	36.0	25.0	236	25.0	9.0	7.0	0.0	11.0	0.0	18.0
346	2237.0	2140	2335.0	2245	58.0	65.0	47.0	50.0	57.0	236	3.0	8.0	3.0	0.0	0.0	0.0	47.0
347	2025.0	1955	2120.0	2055	55.0	60.0	43.0	25.0	30.0	236	4.0	8.0	0.0	0.0	0.0	0.0	25.0
348	1423.0	1335	1519.0	1440	56.0	65.0	42.0	39.0	48.0	236	5.0	9.0	11.0	0.0	0.0	0.0	28.0
351	1928.0	1835	22.0	2345	174.0	190.0	159.0	37.0	53.0	1363	6.0	9.0	17.0	0.0	0.0	0.0	20.0
353	1713.0	1625	2242.0	2215	209.0	230.0	192.0	27.0	48.0	1750	7.0	10.0	5.0	0.0	0.0	0.0	22.0
356	1453.0	1445	2130.0	2040	277.0	235.0	202.0	50.0	8.0	1750	64.0	11.0	0.0	0.0	42.0	0.0	8.0
360	1030.0	1000	1142.0	1115	72.0	75.0	62.0	27.0	30.0	337	3.0	7.0	0.0	0.0	0.0	0.0	27.0
361	2004.0	1900	2127.0	2015	83.0	75.0	66.0	72.0	64.0	337	4.0	13.0	0.0	0.0	13.0	0.0	59.0
362	923.0	900	1114.0	1015	111.0	75.0	63.0	59.0	23.0	337	4.0	44.0	0.0	0.0	36.0	0.0	23.0
363	1419.0	1400	1534.0	1515	75.0	75.0	65.0	19.0	19.0	337	4.0	6.0	12.0	0.0	0.0	0.0	7.0
364	1522.0	1500	1638.0	1615	76.0	75.0	65.0	23.0	22.0	337	5.0	6.0	7.0	0.0	1.0	0.0	15.0
365	1803.0	1730	1933.0	1845	90.0	75.0	67.0	48.0	33.0	337	5.0	18.0	6.0	0.0	15.0	0.0	27.0
366	2146.0	2100	2304.0	2215	78.0	75.0	65.0	49.0	46.0	337	4.0	9.0	0.0	0.0	3.0	0.0	46.0
367	2001.0	1930	2118.0	2045	77.0	75.0	64.0	33.0	31.0	337	4.0	9.0	0.0	0.0	2.0	0.0	31.0
368	1827.0	1800	1945.0	1915	78.0	75.0	63.0	30.0	27.0	337	4.0	11.0	0.0	0.0	3.0	0.0	27.0
369	1904.0	1830	2019.0	1945	75.0	75.0	64.0	34.0	34.0	337	6.0	5.0	0.0	0.0	0.0	0.0	34.0
370	1450.0	1430	1607.0	1545	77.0	75.0	64.0	22.0	20.0	337	5.0	8.0	0.0	0.0	2.0	0.0	20.0
371	1722.0	1700	1836.0	1815	74.0	75.0	63.0	21.0	22.0	337	4.0	7.0	4.0	0.0	0.0	0.0	17.0
372	1820.0	1630	1943.0	1745	83.0	75.0	71.0	118.0	110.0	337	4.0	8.0	0.0	0.0	8.0	3.0	107.0
374	1623.0	1600	1753.0	1715	90.0	75.0	70.0	38.0	23.0	337	13.0	7.0	0.0	0.0	15.0	0.0	23.0
375	2008.0	2000	2136.0	2115	88.0	75.0	67.0	21.0	8.0	337	5.0	16.0	5.0	0.0	13.0	0.0	3.0
382	1811.0	1725	2016.0	1940	65.0	75.0	52.0	36.0	46.0	370	6.0	7.0	5.0	0.0	0.0	0.0	31.0
386	2020.0	1905	2225.0	2115	65.0	70.0	56.0	70.0	75.0	370	4.0	5.0	0.0	0.0	0.0	0.0	70.0
388	2116.0	2040	2318.0	2250	62.0	70.0	53.0	28.0	36.0	370	3.0	6.0	5.0	0.0	0.0	0.0	23.0
389	1556.0	1440	1804.0	1655	68.0	75.0	52.0	69.0	76.0	370	4.0	12.0	69.0	0.0	0.0	0.0	0.0
390	1040.0	1005	1241.0	1220	61.0	75.0	50.0	21.0	35.0	370	4.0	7.0	15.0	0.0	0.0	0.0	6.0
392	1419.0	1335	1624.0	1550	65.0	75.0	53.0	34.0	44.0	370	3.0	9.0	11.0	0.0	0.0	0.0	23.0
400	2321.0	1955	38.0	2115	77.0	80.0	65.0	203.0	206.0	337	6.0	6.0	0.0	0.0	203.0	0.0	0.0
402	2008.0	1805	2139.0	1930	91.0	85.0	70.0	129.0	123.0	337	5.0	16.0	0.0	24.0	6.0	0.0	99.0
403	1625.0	1430	1748.0	1550	83.0	80.0	67.0	118.0	115.0	337	3.0	13.0	0.0	0.0	5.0	0.0	113.0
